RM,MEDV
6.546,617400
6.02,487200
6.315,516600
6.86,627900
6.98,781200
7.765,835800
6.144,760200
7.155,795900
6.563,682500
5.604,554400
6.153,621600
6.782,672000
6.556,625800
7.185,732900
6.951,777000
6.739,640500
7.178,764400
6.8,653100
6.604,611100
7.287,699300
7.107,636300
7.274,726600
6.975,732900
7.135,690900
6.162,506100
7.61,888300
7.853,1018500
5.891,474600
6.326,512400
5.783,472500
6.064,512400
5.344,420000
5.96,455700
5.404,405300
5.807,470400
6.375,590100
5.412,497700
6.182,525000
5.888,489300
6.642,602700
5.951,451500
6.373,483000
6.951,560700
6.164,455700
6.879,577500
6.618,632100
8.266,940800
8.04,789600
7.163,663600
7.686,980700
6.552,661500
5.981,510300
7.412,665700
8.337,875700
8.247,1014300
6.726,609000
6.086,504000
6.631,527100
7.358,661500
6.481,497700
6.606,489300
6.897,462000
6.095,422100
6.358,466200
6.393,497700
5.593,369600
5.605,388500
6.108,510300
6.226,430500
6.433,514500
6.718,550200
6.487,512400
6.438,520800
6.957,621600
8.259,898800
6.108,459900
5.876,438900
7.454,924000
7.333,756000
6.842,632100
7.203,709800
7.52,905100
8.398,1024800
7.327,651000
7.206,766500
5.56,478800
7.014,644700
7.47,913500
5.92,434700
5.856,443100
6.24,529200
6.538,512400
7.691,739200
6.758,680400
6.854,672000
7.267,697200
6.826,695100
6.482,611100
6.812,737100
7.82,953400
6.968,743400
7.645,966000
7.088,676200
6.453,462000
6.23,422100
6.209,487200
6.315,468300
6.565,520800
6.861,598500
7.148,783300
6.63,585900
6.127,501900
6.009,455700
6.678,600600
6.549,569100
5.79,426300
6.345,472500
7.041,609000
6.871,520800
6.59,462000
6.495,554400
6.982,695100
7.236,758100
6.616,596400
7.42,701400
6.849,592200
6.635,478800
5.972,426300
4.973,338100
6.122,464100
6.023,407400
6.266,453600
6.567,499800
5.705,340200
5.914,373800
5.782,415800
6.382,485100
6.113,441000
6.426,499800
6.376,485100
6.041,428400
5.708,388500
6.415,525000
6.431,516600
6.312,483000
6.083,466200
5.868,405300
6.333,474600
6.144,415800
5.706,359100
6.031,407400
6.316,466200
6.31,434700
6.037,443100
5.869,409500
5.895,388500
6.059,432600
5.985,399000
5.968,392700
7.241,686700
6.54,346500
6.696,501900
6.874,655200
6.014,367500
5.898,361200
6.516,485100
6.635,514500
6.939,558600
6.49,480900
6.579,506100
5.884,390600
6.728,632100
5.663,382200
5.936,432600
6.212,373800
6.395,455700
6.127,476700
6.112,474600
6.398,525000
6.251,417900
5.362,436800
5.803,352800
3.561,577500
4.963,459900
3.863,485100
4.906,289800
4.138,289800
7.313,315000
6.649,291900
6.794,279300
6.38,275100
6.223,214200
6.968,218400
6.545,228900
5.536,237300
5.52,258300
4.368,184800
5.277,151200
4.652,220500
5,155400
4.88,214200
5.39,241500
5.713,317100
6.051,487200
5.036,203700
6.193,289800
5.887,266700
6.471,275100
6.405,262500
5.747,178500
5.453,105000
5.852,132300
5.987,117600
6.343,151200
6.404,254100
5.349,174300
5.531,178500
5.683,105000
4.138,249900
5.608,585900
5.617,361200
6.852,577500
5.757,315000
6.657,361200
4.628,375900
5.155,342300
4.519,147000
6.434,151200
6.782,157500
5.304,218400
5.957,184800
6.824,176400
6.411,350700
6.006,298200
5.648,436800
6.103,281400
5.565,245700
5.896,174300
5.837,214200
6.202,228900
6.193,231000
6.38,199500
6.348,304500
6.833,296100
6.425,338100
6.436,300300
6.208,245700
6.629,281400
6.461,201600
6.152,182700
5.935,176400
5.627,268800
5.818,220500
6.406,359100
6.219,386400
6.485,323400
5.854,226800
6.459,247800
6.341,312900
6.251,264600
6.185,296100
6.417,273000
6.749,281400
6.655,319200
6.297,338100
7.393,373800
6.728,312900
6.525,296100
5.976,266700
5.936,283500
6.301,312900
6.081,420000
6.701,344400
6.376,371700
6.317,409500
6.513,424200
6.209,449400
5.759,417900
5.952,399000
6.003,401100
5.926,401100
5.713,422100
6.167,417900
6.229,411600
6.437,487200
6.98,625800
5.427,289800
6.162,279300
6.484,350700
5.304,252000
6.185,306600
6.229,449400
6.242,483000
6.75,497700
7.061,525000
5.762,457800
5.871,432600
6.312,445200
6.114,401100
5.905,432600
5.454,319200
5.414,147000
5.093,170100
5.983,285600
5.983,422100
5.707,457800
5.926,514500
5.67,485100
5.39,413700
5.794,384300
6.019,445200
5.569,367500
6.027,352800
6.593,470400
6.12,432600
6.976,501900
6.794,462000
6.03,249900
